Line#,Date,"Temperature (S-THB 20148981:20147576-1), *C, USDA-WS6","PAR (S-LIA 20148981:20140001-1), uE, USDA-WS6","RH (S-THB 20148981:20147576-2), %, USDA-WS6","Temperature (S-TMB 20148981:20130466-1), *C, USDA-WS6","Solar Radiation (S-LIB 20148981:20142891-1), W/m^2, USDA-WS6","Dew Point (S-THB 20148981:20147576-3), *C, USDA-WS6","Water Content (S-SMD 20148981:20152203-1), m^3/m^3, USDA-WS6","Rain (S-RGB 20148981:20148771-1), mm, USDA-WS6","Battery (RX3000 BATTERY 20148981:20148981-B), V, USDA-WS6"
1,4/23/2018 22:10,23.64,2226,85.9,22.32,1094,21.17,0.4298,0,4.433
2,4/23/2018 22:15,24.27,1146,83.8,22.27,559,21.38,0.4298,0,4.427
3,4/23/2018 22:20,24.1,1331,82,22.32,648,20.86,0.4298,0,4.42
4,4/23/2018 22:25,24.36,2209,81.2,22.35,1078,20.96,0.4298,0,4.412
5,4/23/2018 22:30,24.87,1599,79.2,22.39,768,21.05,0.4291,0,4.405
6,4/23/2018 22:35,25.36,2029,78.4,22.44,989,21.35,0.4298,0,4.436
7,4/23/2018 22:40,24.68,1301,75,22.44,626,19.97,0.4291,0,4.486
8,4/23/2018 22:45,23.57,1251,81.1,22.37,601,20.16,0.4298,0,4.475
9,4/23/2018 22:50,23.79,1134,77.8,22.27,549,19.7,0.4298,0,4.454
10,4/23/2018 22:55,24.32,1384,79.5,22.25,668,20.57,0.4298,0,4.442
11,4/23/2018 23:00,24.82,1499,77,22.3,719,20.54,0.4298,0,4.435
12,4/23/2018 23:05,25.36,2559,76.5,22.35,1279,20.95,0.4298,0,4.426
13,4/23/2018 23:10,24.68,1729,78.4,22.42,841,20.69,0.4291,0,4.421
14,4/23/2018 23:15,24.12,1229,77.6,22.42,598,19.99,0.4298,0,4.415
15,4/23/2018 23:20,23.14,764,82.1,22.32,379,19.94,0.4291,0,4.411
16,4/23/2018 23:25,22.8,834,84.3,22.27,412,20.04,0.4284,0,4.406
17,4/23/2018 23:30,22.66,376,85.6,22.25,191,20.14,0.4291,0,4.403
18,4/23/2018 23:35,22.44,294,86.4,22.23,146,20.08,0.4291,0,4.4
19,4/23/2018 23:40,21.77,429,88.7,22.18,204,19.85,0.4298,0,4.421
20,4/23/2018 23:45,21.46,311,90.6,22.13,148,19.89,0.431,0,4.465
21,4/23/2018 23:50,20.86,316,93.5,22.08,143,19.8,0.4339,0,4.472
22,4/23/2018 23:55,20.53,339,95.5,21.99,161,19.81,0.4478,0.4,4.456
23,4/24/2018 0:00,20.56,384,96,21.89,191,19.92,0.4493,0,4.442
24,4/24/2018 0:05,20.77,726,95.3,21.84,364,20.02,0.4486,0,4.435
25,4/24/2018 0:10,21.46,1064,95.4,21.82,522,20.72,0.4478,0,4.427
26,4/24/2018 0:15,21.58,651,94.3,21.87,331,20.65,0.4478,0,4.423
27,4/24/2018 0:20,21.8,1046,93.9,21.96,511,20.8,0.4471,0,4.418
28,4/24/2018 0:25,22.51,1266,92.9,22.03,609,21.33,0.4457,0,4.414
29,4/24/2018 0:30,22.23,969,91.3,22.11,462,20.77,0.4444,0,4.409
30,4/24/2018 0:35,22.94,1139,89.3,22.18,542,21.12,0.4437,0,4.406
31,4/24/2018 0:40,22.87,744,89.9,22.18,366,21.15,0.443,0,4.403
32,4/24/2018 0:45,22.75,781,89.3,22.2,382,20.93,0.443,0,4.4
33,4/24/2018 0:50,22.7,1036,89.6,22.2,498,20.93,0.4423,0,4.423
34,4/24/2018 0:55,22.56,839,90.4,22.23,408,20.94,0.4408,0,4.462
35,4/24/2018 1:00,22.97,786,90.4,22.2,382,21.34,0.4408,0,4.468
36,4/24/2018 1:05,22.73,816,88.7,22.23,393,20.79,0.4401,0,4.448
37,4/24/2018 1:10,22.56,791,87.7,22.23,378,20.44,0.4387,0,4.439
38,4/24/2018 1:15,22.61,801,87.7,22.18,378,20.49,0.4394,0,4.432
39,4/24/2018 1:20,22.75,629,87.8,22.18,301,20.65,0.4387,0,4.426
40,4/24/2018 1:25,22.35,421,87.8,22.18,206,20.25,0.438,0,4.421
41,4/24/2018 1:30,21.8,131,90.8,22.13,71,20.25,0.4401,0,4.417
42,4/24/2018 1:35,20.67,214,95.1,22.06,101,19.89,0.4416,0,4.412
43,4/24/2018 1:40,20.27,341,96.3,21.94,157,19.69,0.4444,0,4.408
44,4/24/2018 1:45,20.13,241,96.7,21.87,117,19.61,0.4451,0,4.405
45,4/24/2018 1:50,20.08,234,97.2,21.8,114,19.65,0.4471,0,4.402
46,4/24/2018 1:55,20.34,346,97.4,21.77,166,19.94,0.4478,0,4.4
47,4/24/2018 2:00,20.41,314,97.4,21.77,153,20.01,0.4486,0,4.43
48,4/24/2018 2:05,20.56,416,97.4,21.77,199,20.16,0.4486,0,4.459
49,4/24/2018 2:10,20.67,359,98,21.77,173,20.37,0.4486,0,4.463
50,4/24/2018 2:15,20.63,389,97.9,21.77,186,20.31,0.4486,0,4.447
51,4/24/2018 2:20,20.79,436,97.9,21.77,208,20.48,0.4478,0,4.438
52,4/24/2018 2:25,20.72,276,97.7,21.77,136,20.37,0.4471,0,4.429
53,4/24/2018 2:30,20.65,149,97.5,21.75,74,20.27,0.4471,0,4.398
54,4/24/2018 2:35,20.48,171,97.7,21.7,83,20.13,0.4471,0,4.411
55,4/24/2018 2:40,20.44,224,97.6,21.65,107,20.07,0.4464,0,4.46
56,4/24/2018 2:45,20.39,196,97.8,21.63,93,20.06,0.4464,0,4.478
57,4/24/2018 2:50,20.36,86,97.6,21.6,43,20,0.4464,0,4.462
58,4/24/2018 2:55,20.15,111,97.5,21.56,53,19.77,0.4451,0,4.45
59,4/24/2018 3:00,20.08,109,98.1,21.51,52,19.8,0.4507,0.2,4.444
60,4/24/2018 3:05,20.1,99,98.1,21.46,48,19.82,0.4529,0,4.436
61,4/24/2018 3:10,20.15,86,98.3,21.46,42,19.9,0.4514,0,4.432
62,4/24/2018 3:15,20.06,111,98.3,21.46,52,19.8,0.4529,0,4.426
